"parameter1","parameter2","effectsize","estimate","conf.level","conf.low","conf.high","statistic","df.error","p.value","method","n.obs","conf.method","expression","common_name","time_of_day"
"time_from_startTime","detections","Pearson correlation","-0.018632420225138","0.95","-0.139505095458794","0.102787356159041","-0.30049091346423","260","0.764042858318045","Pearson correlation","262","normal","list(italic(""t"")[""Student""] * ""("" * 260 * "")"" == ""-0.30"", italic(p) == ""0.76"", widehat(italic(""r""))[""Pearson""] == ""-0.02"", CI[""95%""] ~ ""["" * ""-0.14"", ""0.10"" * ""]"", italic(""n"")[""pairs""] == ""262"")","Malabar Gray Hornbill","dusk"
"time_from_startTime","detections","Pearson correlation","0.0559263005069943","0.95","-0.112847665276338","0.221563586805578","0.650823495492697","135","0.516266621680309","Pearson correlation","137","normal","list(italic(""t"")[""Student""] * ""("" * 135 * "")"" == ""0.65"", italic(p) == ""0.52"", widehat(italic(""r""))[""Pearson""] == ""0.06"", CI[""95%""] ~ ""["" * ""-0.11"", ""0.22"" * ""]"", italic(""n"")[""pairs""] == ""137"")","Velvet-fronted Nuthatch","dawn"
"time_from_startTime","detections","Pearson correlation","-0.209355359787283","0.95","-0.436308837285322","0.0426426398545636","-1.65841064464029","60","0.102454073834038","Pearson correlation","62","normal","list(italic(""t"")[""Student""] * ""("" * 60 * "")"" == ""-1.66"", italic(p) == ""0.10"", widehat(italic(""r""))[""Pearson""] == ""-0.21"", CI[""95%""] ~ ""["" * ""-0.44"", ""0.04"" * ""]"", italic(""n"")[""pairs""] == ""62"")","Velvet-fronted Nuthatch","dusk"
"time_from_startTime","detections","Pearson correlation","0.504048521260984","0.95","0.182261069185921","0.728309249216099","3.14282953401396","29","0.00383848494788126","Pearson correlation","31","normal","list(italic(""t"")[""Student""] * ""("" * 29 * "")"" == ""3.14"", italic(p) == ""3.84e-03"", widehat(italic(""r""))[""Pearson""] == ""0.50"", CI[""95%""] ~ ""["" * ""0.18"", ""0.73"" * ""]"", italic(""n"")[""pairs""] == ""31"")","Indian Peafowl","dawn"
"time_from_startTime","detections","Pearson correlation","-0.114539630710957","0.95","-0.487602541849865","0.293892288518021","-0.552951925414032","23","0.585631246179907","Pearson correlation","25","normal","list(italic(""t"")[""Student""] * ""("" * 23 * "")"" == ""-0.55"", italic(p) == ""0.59"", widehat(italic(""r""))[""Pearson""] == ""-0.11"", CI[""95%""] ~ ""["" * ""-0.49"", ""0.29"" * ""]"", italic(""n"")[""pairs""] == ""25"")","Indian Peafowl","dusk"
"time_from_startTime","detections","Pearson correlation","0.056318455283858","0.95","-0.16832180868292","0.27539776446125","0.491753393785759","76","0.624311028300107","Pearson correlation","78","normal","list(italic(""t"")[""Student""] * ""("" * 76 * "")"" == ""0.49"", italic(p) == ""0.62"", widehat(italic(""r""))[""Pearson""] == ""0.06"", CI[""95%""] ~ ""["" * ""-0.17"", ""0.28"" * ""]"", italic(""n"")[""pairs""] == ""78"")","Malabar Barbet","dawn"
"time_from_startTime","detections","Pearson correlation","0.00711866145982144","0.95","-0.117805498015577","0.131821015883445","0.111427499879825","245","0.911368585556519","Pearson correlation","247","normal","list(italic(""t"")[""Student""] * ""("" * 245 * "")"" == ""0.11"", italic(p) == ""0.91"", widehat(italic(""r""))[""Pearson""] == ""7.12e-03"", CI[""95%""] ~ ""["" * ""-0.12"", ""0.13"" * ""]"", italic(""n"")[""pairs""] == ""247"")","Malabar Barbet","dusk"
"time_from_startTime","detections","Pearson correlation","-0.074077103544864","0.95","-0.193077400903844","0.0470708654959225","-1.20234609548075","262","0.230314984533671","Pearson correlation","264","normal","list(italic(""t"")[""Student""] * ""("" * 262 * "")"" == ""-1.20"", italic(p) == ""0.23"", widehat(italic(""r""))[""Pearson""] == ""-0.07"", CI[""95%""] ~ ""["" * ""-0.19"", ""0.05"" * ""]"", italic(""n"")[""pairs""] == ""264"")","Yellow-browed Bulbul","dawn"
"time_from_startTime","detections","Pearson correlation","0.138062646800253","0.95","0.0261608113585471","0.246547287080201","2.42647920463919","303","0.01582939039857","Pearson correlation","305","normal","list(italic(""t"")[""Student""] * ""("" * 303 * "")"" == ""2.43"", italic(p) == ""0.02"", widehat(italic(""r""))[""Pearson""] == ""0.14"", CI[""95%""] ~ ""["" * ""0.03"", ""0.25"" * ""]"", italic(""n"")[""pairs""] == ""305"")","Yellow-browed Bulbul","dusk"
"time_from_startTime","detections","Pearson correlation","-0.678054916351548","0.95","-0.91643547590633","-0.084506034207973","-2.60925112409202","8","0.0311665454585113","Pearson correlation","10","normal","list(italic(""t"")[""Student""] * ""("" * 8 * "")"" == ""-2.61"", italic(p) == ""0.03"", widehat(italic(""r""))[""Pearson""] == ""-0.68"", CI[""95%""] ~ ""["" * ""-0.92"", ""-0.08"" * ""]"", italic(""n"")[""pairs""] == ""10"")","Bronzed Drongo","dawn"
"time_from_startTime","detections","Pearson correlation","0.267113477985916","0.95","-0.244983970432893","0.662679068526288","1.07353277744165","15","0.299999400223783","Pearson correlation","17","normal","list(italic(""t"")[""Student""] * ""("" * 15 * "")"" == ""1.07"", italic(p) == ""0.30"", widehat(italic(""r""))[""Pearson""] == ""0.27"", CI[""95%""] ~ ""["" * ""-0.24"", ""0.66"" * ""]"", italic(""n"")[""pairs""] == ""17"")","Bronzed Drongo","dusk"
"time_from_startTime","detections","Pearson correlation","0.155311460655652","0.95","-0.567327663332959","0.742814987439026","0.415962981535935","7","0.689893285642066","Pearson correlation","9","normal","list(italic(""t"")[""Student""] * ""("" * 7 * "")"" == ""0.42"", italic(p) == ""0.69"", widehat(italic(""r""))[""Pearson""] == ""0.16"", CI[""95%""] ~ ""["" * ""-0.57"", ""0.74"" * ""]"", italic(""n"")[""pairs""] == ""9"")","Dark-fronted Babbler","dawn"
"time_from_startTime","detections","Pearson correlation","0.208590612791755","0.95","-0.0313958976088802","0.42583743028108","1.73271254893349","66","0.0878174131764241","Pearson correlation","68","normal","list(italic(""t"")[""Student""] * ""("" * 66 * "")"" == ""1.73"", italic(p) == ""0.09"", widehat(italic(""r""))[""Pearson""] == ""0.21"", CI[""95%""] ~ ""["" * ""-0.03"", ""0.43"" * ""]"", italic(""n"")[""pairs""] == ""68"")","Dark-fronted Babbler","dusk"
"time_from_startTime","detections","Pearson correlation","0.17296204550353","0.95","-0.164946656442293","0.474532828804776","1.02396608179787","34","0.31308190648145","Pearson correlation","36","normal","list(italic(""t"")[""Student""] * ""("" * 34 * "")"" == ""1.02"", italic(p) == ""0.31"", widehat(italic(""r""))[""Pearson""] == ""0.17"", CI[""95%""] ~ ""["" * ""-0.16"", ""0.47"" * ""]"", italic(""n"")[""pairs""] == ""36"")","Great Hornbill","dawn"
"time_from_startTime","detections","Pearson correlation","0.207773494101831","0.95","-0.0987315610923485","0.4782715400772","1.3600805819185","41","0.181236395286645","Pearson correlation","43","normal","list(italic(""t"")[""Student""] * ""("" * 41 * "")"" == ""1.36"", italic(p) == ""0.18"", widehat(italic(""r""))[""Pearson""] == ""0.21"", CI[""95%""] ~ ""["" * ""-0.10"", ""0.48"" * ""]"", italic(""n"")[""pairs""] == ""43"")","Great Hornbill","dusk"
"time_from_startTime","detections","Pearson correlation","-0.35204004521524","0.95","-0.451004667373406","-0.244524017067449","-6.24852840586804","276","1.56417392231258e-09","Pearson correlation","278","normal","list(italic(""t"")[""Student""] * ""("" * 276 * "")"" == ""-6.25"", italic(p) == ""1.56e-09"", widehat(italic(""r""))[""Pearson""] == ""-0.35"", CI[""95%""] ~ ""["" * ""-0.45"", ""-0.24"" * ""]"", italic(""n"")[""pairs""] == ""278"")","Gray Junglefowl","dawn"
"time_from_startTime","detections","Pearson correlation","-0.220220767962551","0.95","-0.375775139292183","-0.052596687021257","-2.59382218244684","132","0.0105631886616429","Pearson correlation","134","normal","list(italic(""t"")[""Student""] * ""("" * 132 * "")"" == ""-2.59"", italic(p) == ""0.01"", widehat(italic(""r""))[""Pearson""] == ""-0.22"", CI[""95%""] ~ ""["" * ""-0.38"", ""-0.05"" * ""]"", italic(""n"")[""pairs""] == ""134"")","Gray Junglefowl","dusk"
